Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,Snippet,naics code,input tokens,output tokens
373,AMP,17.2,0.7,122.1,16.0,Australia,Oceania,-25.274398,133.775136,"Whether you are a publisher, e-commerce company, storyteller, advertiser or email sender, AMP makes it easy to create great experiences on the web.",5182,102,2
374,Canadian National Railway,10.0,2.7,26.8,42.7,Canada,North America,56.130366,-106.346771,"Shipping by Rail and Intermodal is efficient, reliable, cost effective & environmentally friendly. CN is your complete transportation and logistics ...",4821,101,2
375,Baker Hughes,21.4,1.3,26.7,21.2,USA,North America,37.09024,-95.712891,"We are Baker Hughes, an energy technology company. We take energy forward - making it safer, cleaner, and more efficient for people and the planet.",2131,105,2
376,EDP-Energias de Portugal,21.6,1.3,55.2,11.5,Portugal,Europe,39.399872,-8.224454,A global energy company. We work to be leaders. To transform the world. We want to lead decarbonization and be 100% green by 2030.,2211,114,2
377,Coal India,12.3,2.9,20.8,37.4,India,Asia,20.593684,78.96288,"कोल इण्डिया लिमिटेड का लक्ष्य सुरक्षा, संरक्षण एवं गुणवत्ता को सम्यक प्रतिष्ठा प्रदान करते हुए दक्षतापूर्वक और मितव्ययिता के साथ पर्यावरण के अनुकुल योजनाबद्ध परिमाण में कोयला एवं कोयला उत्पाद का उत्पादन एवं विपणन करना है ।",2121,143,2
378,Kering,12.8,1.4,32.5,29.4,France,Europe,46.227638,2.213749,"As a world-class Luxury group, Kering promotes a modern and sustainable luxury at the service of creation that translates into unique and authentic ...",4483,102,2
379,Hyundai Heavy Industries,48.8,0.9,46.3,11.6,South Korea,Asia,35.907757,127.766922,HD HYUNDAI HEAVY INDUSTRIES · SHIPBUILDING. The world's. No.1 shipbuilding · NAVAL & SPECIAL SHIPS. Your maritime security solution provider · OFFSHORE & ENRGY.,3366,122,2
380,CBS,14.1,1.6,26.5,29.4,USA,North America,37.09024,-95.712891,"Watch CBS television online. Find CBS primetime, daytime, late night, and classic tv episodes, videos, and information.",5121,98,2
381,Viacom,13.2,2.2,21.9,31.3,USA,North America,37.09024,-95.712891,Paramount is one of the world's leading producers of premium entertainment content that connects billions of people in nearly every country in the world.,5121,99,2
382,Akbank,8.2,1.7,91.6,20.6,Turkey,Europe,38.963745,35.243322,"Akbank ile bankacılık hizmetlerinin keyfini çıkarabilir, Mobil banka deneyimi ile Türkiye'nin en değerli bankası Akbank'ta yerinizi alabilirsiniz.",5221,109,2
383,Woori Finance Holdings,15.2,1.4,306.2,9.0,South Korea,Asia,35.907757,127.766922,We will offer total financial services based on strong corporate governance and transparent management philosophy.,5211,93,2
384,NTPC,12.8,1.9,30.5,22.3,India,Asia,20.593684,78.96288,NTPC is a one of India's leading power generation company enlightening India everyday and fulfils energy requirements of the nation. NTPC's main motto is to ...,2211,106,2
385,Norilsk Nickel,12.8,3.3,18.8,32.9,Russia,Europe,61.52401,105.318756,Norilsk Nickel Climate Change Strategy · Permafrost · Social Responsibility ... © 2008-2024 Norilsk Nickel. Nornickel is Russia's leading metals and mining ...,2123,116,2
386,Alstom,26.6,1.0,39.4,14.0,France,Europe,46.227638,2.213749,"Leading the way to greener and smarter mobility worldwide, Alstom develops and markets integrated systems that provide the sustainable foundations for the ...",3361,102,2
387,International Paper,27.8,0.8,32.2,20.1,USA,North America,37.09024,-95.712891,"We transform renewable resources into innovative and sustainable packaging solutions, corrugated cardboard boxes, pulp and paper products, ...",3221,97,2
388,Sabanci Holding,14.6,1.0,98.3,12.7,Turkey,Europe,38.963745,35.243322,"The pioneer of Turkey's industral sector with its technology-based service, operational efficiency and the importance it assigns to innovation. ... Turkey's ...",5416,104,2
389,PPL,12.3,1.5,43.6,17.8,USA,North America,37.09024,-95.712891,... PPL employee on side of road. Trimming trees to prevent outages. We are committed to trimming and clearing trees around power lines as part of our year-round ...,5617,109,2
390,Pernod Ricard,10.4,1.5,33.5,34.5,France,Europe,46.227638,2.213749,"We are committed to offering products and experiences which surprise and delight, and to ensuring a respectful, diverse and sustainable future.",3121,101,2
390,Lloyds Banking Group,75.6,-2.3,1495.9,53.8,UK,Europe,55.378051,-3.435973,"We are the largest UK retail and commercial financial services provider, with 26 million customers and a leading digital presence.",5221,100,2
392,Gilead Sciences,9.7,2.6,21.2,68.4,USA,North America,37.09024,-95.712891,"Gilead Sciences, Inc. is a research-based biopharmaceutical company focused on the discovery, development, and commercialization of innovative medicines.",3254,104,2
393,Suncorp Group,15.6,0.7,98.3,15.9,Australia,Oceania,-25.274398,133.775136,Suncorp Group is one of Australia's largest financial services companies offering a range of insurance and banking solutions across Australia and New ...,5241,102,2
395,Mitsubishi Estate,12.2,0.7,53.2,40.8,Japan,Asia,36.204824,138.252924,"The portal site of Mitsubishi Mitsubishi Estate Co., Ltd., Ltd. and the Mitsubishi Estate Group. We introduce the development, leasing and management of ...",5311,106,2
396,CSX,11.8,1.9,30.6,24.5,USA,North America,37.09024,-95.712891,CSX is a leading supplier of rail-based freight transportation in North America. But there's more to CSX than you might expect. Learn all about CSX and ...,4821,108,2
397,FirstRand,8.4,1.6,94.1,18.0,South Africa,Africa,-30.559482,22.937506,"FirstRand is a portfolio of integrated financial services businesses and offers a universal set of transactional, lending, investment and insurance products and ...",5231,101,2
398,PG&E,15.0,0.8,52.4,19.1,USA,North America,37.09024,-95.712891,Pacific Gas and Electric Company (PG&E) provides natural gas and electric service to residential and business customers in northern and central California.,2211,100,2
399,Mapfre,27.1,0.9,69.2,10.7,Spain,Europe,40.463667,-3.74922,"About MAPFRE Insurance. At MAPFRE Insurance, we build relationships based on trust. · Fundación MAPFRE. With more than 40 years of experience, we are recognized ...",5241,113,2
400,Barclays,55.7,-1.7,2422.5,62.3,UK,Europe,55.378051,-3.435973,"Visit our Help Center. From FAQs to how-to videos to your credit card account access, the Help Center is your go-to resource for all your banking needs. We're ...",5221,110,2
401,Automatic Data,10.9,1.4,33.3,31.3,USA,North America,37.09024,-95.712891,"ADP offers industry-leading online payroll and HR solutions, plus tax, compliance, benefit administration and more.",5412,95,2
402,Colgate-Palmolive,17.1,2.5,13.4,52.4,USA,North America,37.09024,-95.712891,"Colgate-Palmolive products are trusted by millions around the globe to care for their families and homes. Learn about our products, stocks, and careers.",3256,108,2
403,Deutsche Lufthansa,39.7,1.3,37.5,9.7,Germany,Europe,51.165691,10.451526,Book flights online to worldwide destinations and enjoy a pleasant travel experience in comfort and safety. Look out for great offers and discounts.,4811,100,2
404,Huaneng Power International,21.1,0.9,41.2,14.9,China,Asia,35.86166,104.195397,"Huaneng Power International ... Not to be confused with Huadian Power International or China Huaneng Group. Huaneng Power International, Inc. (HPI), commonly ...",2211,114,2
405,SK Holdings,106.3,0.9,85.2,7.0,South Korea,Asia,35.907757,127.766922,SK is a global leader driving economic and social prosperity through innovative solutions. Discover our cutting-edge companies and sustainable practices.,5416,97,2
406,TransCanada,8.0,1.4,48.5,33.9,Canada,North America,56.130366,-106.346771,Please use your login information to access your profile using the link below. Supplier Log-in Portal. transcanada-houston-tank-construction-800x450.jpg ...,4861,110,2
407,Huaxia Bank,10.5,1.5,197.2,11.5,China,Asia,35.86166,104.195397,1995年华夏银行率先实行了股份制改造，成为一家全国性股份制商业银行，2003年9月，华夏银行公开发行股票，并在上海证券交易所挂牌上市交易(股票代码600015)，成为全国第五家 ...,5221,134,2
408,Texas Instruments,12.8,1.8,20.0,38.8,USA,North America,37.09024,-95.712891,"Texas Instruments has been making progress possible for decades. We are a global semiconductor company that designs, manufactures, tests and sells analog ...",3344,101,2
409,Ameriprise Financial,10.3,1.0,134.7,15.1,USA,North America,37.09024,-95.712891,Ameriprise Financial is a longstanding leader of personalized financial planning and advice. We've been recognized as one of the top financial advisor companies ...,5239,104,2
411,QBE Insurance Group,17.0,0.8,50.8,17.0,Australia,Oceania,-25.274398,133.775136,"QBE Insurance Group is one of the world's top 20 insurance and reinsurance companies, located in 26 countries. Visit us for company information.",5241,106,2
412,EXOR,117.5,0.7,159.4,7.1,Italy,Europe,41.87194,12.56738,Exor sums up an entrepreneurial story based on more than a century of investments made through various... Read more.,5231,96,2
413,Lafarge,20.9,0.6,50.5,20.3,France,Europe,46.227638,2.213749,"Lafarge is Canada's largest provider of innovative and sustainable building solutions, including aggregates, cement, concrete and asphalt. Contact us today.",3273,101,2
413,Talanx,34.9,0.8,171.7,7.9,Germany,Europe,51.165691,10.451526,Talanx. Insurance. Investments. Talanx is one of the large insurance groups in Europe. The Hannover-based company is active in more than 175 countries. The ...,5241,112,2
415,Norfolk Southern,11.0,1.7,30.3,23.7,USA,North America,37.09024,-95.712891,"About Norfolk Southern. Since 1827, our railroad has been moving the freight that powers America. Today, we operate in 22 states with connections across the ...",4821,109,2
416,Orix,11.8,1.0,101.2,13.5,Japan,Asia,36.204824,138.252924,We are orix usa an alternative asset manager and investor. We are a team of experienced professionals with $85B in assets* serving middle market focused clients ...,5239,107,2
417,Covidien,12.0,1.9,22.0,30.9,Ireland,Europe,53.41291,-8.24389,"Covidien is part of Medtronic — working to diagnose earlier, intervene earlier, treat better & help patients recover faster.",3391,99,2
418,FirstEnergy,15.3,0.8,50.4,17.6,USA,North America,37.09024,-95.712891,"FirstEnergy's 10 regulated distribution companies form one of the nation's largest investor-owned electric systems, based on serving 6 million customers in ...",2211,103,2
419,Mitsui Fudosan,16.2,0.6,46.9,25.2,Japan,Asia,36.204824,138.252924,"Providing solutions and services in a wide range of business areas, including office buildings, commercial facilities, hotels and resorts, logistics, and ...",5311,106,2
420,Royal Bank of Scotland,42.1,-9.4,2133.1,52.0,UK,Europe,55.378051,-3.435973,"Welcome to Royal Bank of Scotland. Our extensive personal banking products include bank accounts, mortgages, credit cards, loans and more.",5221,101,2
421,Macy's,27.7,1.3,21.0,16.2,USA,North America,37.09024,-95.712891,"Aug 9, 2024 ... Macy's - FREE Shipping at Macys.com. Macy's has the latest fashion brands on Women's and Men's Clothing, Accessories, Jewelry, Beauty, ...",4481,114,2
422,Las Vegas Sands,11.1,1.5,22.2,44.1,USA,North America,37.09024,-95.712891,"Las Vegas Sands Corporation is the world leader in developing and operating international, world-class integrated resorts.",7211,94,2
423,Aeon,64.1,0.8,49.1,8.9,Japan,Asia,36.204824,138.252924,"Aeon is a magazine of ideas and culture. We publish in-depth essays from the world's most incisive and ambitious thinkers, and a mix of original and curated ...",5111,108,2
424,Ageas,20.6,1.0,128.0,8.5,Belgium,Europe,50.503887,4.469936,We offer insurance solutions and services to our customers and grow our business in a sustainable way in a selected number of countries in Europe and Asia ...,5241,103,2
425,Thermo Fisher Scientific,12.5,1.2,27.4,27.6,USA,North America,37.09024,-95.712891,"Thermo Fisher Scientific enables our customers to make the world healthier, cleaner and safer. Delivering technology, pharmaceutical and biotechnology ...",3254,102,2
426,Bouygues,44.3,0.8,48.1,9.4,France,Europe,46.227638,2.213749,Working for Bouygues means being part of a big family – one whose members share a common culture and a set of fundamental principles that shape the identity of ...,2332,108,2
427,Cenovus Energy,16.9,1.0,24.3,24.4,Canada,North America,56.130366,-106.346771,"At Cenovus Energy, we energize the world to make people's lives better.",2111,94,2
428,Ahold,43.3,1.1,19.4,15.7,The Netherlands,Europe,52.132633,5.291266,"Welcome to the world of Ahold Delhaize! ... Ahold Delhaize published its second quarter 2024 results on August 7, 2024. ... Explore Ahold Delhaize's renewed ...",4451,119,2
429,CEZ Group,11.3,2.2,33.4,15.7,Czech Republic,Europe,49.817492,15.472962,"CEZ follows a sustainable development strategy named “Energy for the Future”: the company supports energy efficiency, promotes new technologies, contributes to ...",2211,103,2
430,Sampo,8.4,1.9,41.4,22.2,Finland,Europe,61.92411,25.748151,"Sampo is a leading Northern European P&C insurance group with operations in the Nordics, Baltics, and the UK.",5241,99,2
431,Hana Financial Group,12.5,1.5,263.9,8.5,South Korea,Asia,35.907757,127.766922,Shared growth and happiness in finance. Vision and Mission: Financial services for all connected through Hana CEO. Wholly dedicated to only one goal the ...,5211,106,2
432,Consolidated Edison,12.2,1.1,41.2,17.3,USA,North America,37.09024,-95.712891,"Providing electric, gas, and steam to NYC and Westchester. Pay your bill, manage your account, report an outage, and learn how to save energy.",2211,108,2
433,Deutsche Telekom,76.9,-6.9,136.1,48.4,Germany,Europe,51.165691,10.451526,Error,5133,77,2
435,Rio Tinto,51.0,-3.0,117.6,98.5,UK,Europe,55.378051,-3.435973,"Rio Tinto is a leading global mining group that focuses on finding, mining and processing the Earth's mineral resources. Discover more about Rio Tinto's ...",2122,106,2
436,Generali Group,116.7,0.1,582.4,26.0,Italy,Europe,41.87194,12.56738,"One of the leading insurers in the world. Generali is one of the largest global insurance and asset management providers. It is present in over 50 countries, ...",5241,109,2
437,CLP Holdings,13.5,1.1,29.4,21.7,Hong Kong,Asia,22.396428,114.109497,"CLP Group is one of the largest investor-owned power businesses in Asia-Pacific with investments in Hong Kong, Mainland China, Australia, India, ...",2211,105,2
438,Hewlett-Packard,118.7,-12.9,106.7,43.1,USA,North America,37.09024,-95.712891,"Power your edge-to-cloud platform with proven, transformative, and innovative IT products, solutions, and services.",4234,98,2
439,Novo Nordisk,13.8,3.8,11.2,95.0,Denmark,Europe,56.26392,9.501785,"Novo Nordisk is a leading global healthcare company, founded in 1923 and headquartered in Denmark. Our purpose is to drive change to defeat diabetes and ...",3254,107,2
440,Grupo Mexico,10.4,2.4,18.4,32.3,Mexico,North America,23.634501,-102.552784,"FUNDACIÓN ... PARA LA COMUNIDAD. ... Grupo México es la cuarta empresa más grande del país con una capitalización de mercado de US$27,316 millones de dólares.",2123,110,2
441,Lincoln National,11.5,1.3,218.9,9.1,USA,North America,37.09024,-95.712891,We designed tools and resources to help you overcome competing priorities and achieve financial balance.,5241,90,2
442,Loews,14.6,0.6,80.0,17.5,USA,North America,37.09024,-95.712891,"From locally inspired culinary offerings and room packages to the perfect backdrop for your wedding or special event, we have everything you need to create ...",7221,102,2
443,Morgan Stanley,32.0,0.1,781.0,46.6,USA,North America,37.09024,-95.712891,"We help people, businesses and institutions build, preserve and manage wealth so they can pursue their financial goals.",5231,95,2
444,Fubon Financial,9.4,1.0,119.3,13.7,Taiwan,Asia,23.69781,120.960515,This website uses cookies to record and access information about your browsing history to improve user experience and optimize the website service. By ...,5231,101,2
445,Macquarie Group,11.4,0.8,157.8,13.5,Australia,Oceania,-25.274398,133.775136,"We are a diversified financial group providing clients with asset management and finance, banking, advisory and risk and capital solutions across debt, ...",5239,103,2
446,Bank Mandiri,6.3,1.6,65.5,24.0,Indonesia,Asia,-0.789275,113.921327,"Bank Mandiri adalah Bank Terbaik di Indonesia. Terdepan, Terpercaya, Tumbuh Bersama Anda. Apapun keinginan Anda, Bank Mandiri Saja.",5221,112,2
448,Rogers Communications,12.5,1.7,19.7,25.3,Canada,North America,56.130366,-106.346771,"Choose a cell phone or plan for your needs. At Rogers, count on more mobile, Internet, TV, Home Security and Home Phone options.",5173,105,2
448,Newmont Mining,9.9,1.8,29.6,19.7,USA,North America,37.09024,-95.712891,"Join the World's Leading Gold Company ... Two happy miners pose in a cave, holding their work gear. Our success is tied to the well-being, accomplishments and ...",2122,108,2
450,Shin-Etsu Chemical,12.7,1.2,21.8,28.7,Japan,Asia,36.204824,138.252924,"Corporate Profile, Video, Exhibition Schedule, Micro LED Process Technology, CONTACT, FAQ, Contact us, Catalog, Downloads, Supplier Hotline",3254,105,2
451,Merck,13.8,0.7,28.6,32.0,Germany,Europe,51.165691,10.451526,"At Merck, we're following the science to tackle some of the world's greatest health threats. Get a glimpse of how we work to improve lives.",3254,103,2
452,Fifth Third Bancorp,7.1,1.6,121.9,14.7,USA,North America,37.09024,-95.712891,Fifth Third Bank has all the personal banking solutions to suit your needs. Learn about the features and benefits of our personal bank account today!,5221,104,2
453,Toyota Tsusho,71.5,0.8,34.4,9.2,Japan,Asia,36.204824,138.252924,Toyota Tsusho is the trading arm of the Toyota Group.It is developing the business in the eight divisions and the administrative supporting division.,4231,101,2
454,CRH,24.6,0.7,27.6,16.7,Ireland,Europe,53.41291,-8.24389,"We manufacture and distribute a diverse range of superior building materials and products, which are used extensively in construction projects of all sizes, ...",3273,101,2
456,Bharti Airtel,14.0,0.8,29.8,21.8,India,Asia,20.593684,78.96288,"Bharti Airtel is a leading and most trusted provider of ICT services in India. We serve over 1200 global enterprises, 2000 large and 1 million medium/small ...",5173,115,2
457,Praxair,11.2,1.7,18.1,33.6,USA,North America,37.09024,-95.712891,"Linde supplies Nitrogen, Hydrogen, Oxygen, Argon, Acetylene, Helium, Neon, Carbon Dioxide & other gases as well as equipment systems and services.",3251,111,2
458,Xerox,22.4,1.2,30.0,10.7,USA,North America,37.09024,-95.712891,"Xerox has the technology, industry expertise, and tailored solutions to empower organizations across multiple sectors, including education, legal, and ...",5614,101,2
459,Intesa Sanpaolo,47.7,-10.6,813.8,26.4,Italy,Europe,41.87194,12.56738,A bank at the service of the real economy. Find out more at group.intesasanpaolo.com.,5221,99,2
460,CrÃ©dit Agricole,51.2,-8.3,2431.4,23.4,France,Europe,46.227638,2.213749,Crédit Agricole CIB is the corporate and investment bank of the Crédit Agricole Group.,5231,96,2
461,Bank Rakyat Indonesia,6.0,1.9,57.0,22.4,Indonesia,Asia,-0.789275,113.921327,Bank Rakyat Indonesia (BRI) adalah salah satu bank komersial terbesar di Indonesia yang selalu mengutamakan kepuasan nasabah.,5221,106,2
462,Porsche Automobil Holding,5.2,10.3,41.1,24.5,Germany,Europe,51.165691,10.451526,"Share, Equity, Story, Press releases, Investments, Jobs & careers, Financial calendar, Key figures, LinkedIn Imprint, Data privacy",3361,106,2
463,HDFC Bank,6.5,1.0,66.7,28.1,India,Asia,20.593684,78.96288,"HDFC Bank, India's leading private sector bank, offers Online NetBanking Services & Personal Banking Services like Accounts & Deposits, Cards, Loans, ...",5221,107,2
464,National Bank of Canada,7.1,1.6,184.0,12.3,Canada,North America,56.130366,-106.346771,"Simplify your finances with our services including bank accounts, mortgages, credit cards, savings and insurance. Access accounts with 24/7 online banking.",5221,106,2
465,Magna International,30.8,1.4,17.1,13.2,Canada,North America,56.130366,-106.346771,Magna. Forward. For all. Explore how Magna´s advancements in mobility help build a better world for everyone and everything.,3361,99,2
466,Humana,39.1,1.2,20.0,11.1,USA,North America,37.09024,-95.712891,"Healthcare plans for healthier days · Learn more about our products · In 2024, Humana Medicare Advantage plans now include routine dental, vision and hearing ...",5241,106,2
467,Kirin Holdings,21.6,0.6,33.6,15.2,Japan,Asia,36.204824,138.252924,"Website that reports on the overall activities of Kirin Group, from the process for creating new value to the corporate profile and employment information ...",3121,103,2
467,CIMB Group Holdings,6.3,1.4,110.2,16.8,Malaysia,Asia,4.210484,101.975766,CIMB Group is a leading focused ASEAN bank and one of the region's foremost corporate advisors. It is also a world leader in Islamic finance.,5221,106,2
469,Keppel Corp,11.4,1.8,23.9,17.0,Singapore,Asia,1.352083,103.819836,"From 1 Jan 2024, our company name has been changed from “Keppel Corporation Limited” to “Keppel Ltd.” ... Through our quality investment platforms and asset ...",5511,112,2
470,Lotte Shopping,22.2,1.0,34.6,10.3,South Korea,Asia,35.907757,127.766922,"Major products and services · Department Store. Since its flagship store opening in 1979, Lotte Department Store now operates 32 branches domestically and has ...",4481,108,2
471,Compass Group,27.3,1.0,14.4,23.1,UK,Europe,55.378051,-3.435973,"By combining both food and support services under one operating umbrella, they are able to offer patients and residents a comprehensive hospitality experience ...",7223,100,2
472,Paccar,17.0,1.1,18.6,18.0,USA,North America,37.09024,-95.712891,PACCAR · DAF XG+ Truck. Learn More · Kenworth-T680 Truck. Kenworth T680 Truck. Learn More · Peterbilt 589 Truck. Learn More · DAF XG+ Truck. Learn More.,3361,122,2
473,China Coal Energy,13.6,1.5,29.5,12.2,China,Asia,35.86166,104.195397,"China Coal Energy Company Limited Address: No.1, Huangsidajie, Chaoyang District, Beijing, China Post Code:100120 Telephone: 010-82256688",2121,113,2
473,Aon,11.5,1.0,30.5,18.7,UK,Europe,55.378051,-3.435973,Aon is in the Business of Better Decisions. Aon exists to shape decisions for the better — to protect and enrich the lives of people around the world.,5241,106,2
475,EnBW-Energie Baden,24.7,0.6,48.5,10.8,Germany,Europe,51.165691,10.451526,EnBW is an energy producer and energy supplier in Baden-Württemberg and beyond ... © EnBW Energie Baden-Württemberg AG 2024. All rights reserved. Set cookies ...,2211,111,2
476,Kinder Morgan,10.0,0.4,68.5,41.2,USA,North America,37.09024,-95.712891,"Kinder Morgan is one of the largest energy infrastructure companies in North America. We have an interest in or operate approximately 79,000 miles of pipelines ...",4861,105,2
477,Siam Commercial Bank,6.0,1.3,74.2,21.5,Thailand,Asia,15.870032,100.992541,"SCB Personal Banking products. Discover new convenient experience everyday with UP2ME credit card, deposit and investment service.",5221,99,2
478,TJX Cos,25.9,1.9,9.5,32.8,USA,North America,37.09024,-95.712891,"TJX delivers great value on ever-changing selections of high quality, fashionable, brand name and designer merchandise at prices generally 20%-60% below full- ...",4481,108,2
479,Sysco,43.4,1.1,12.4,19.8,USA,North America,37.09024,-95.712891,"Sysco delivers exceptional produce, custom cuts of meat, high-quality seafood, and imported foods offering global flavors.",4244,96,2
480,Fortum,8.1,1.9,32.3,17.6,Finland,Europe,61.92411,25.748151,"Our purpose is to power a world where people, businesses and nature thrive together.",2211,90,2
481,Atlas Copco,13.4,2.1,12.5,35.2,Sweden,Europe,60.128161,18.643501,Atlas Copco | Home of Industrial Ideas.,3339,84,2
482,LG Chem,21.9,1.4,15.4,16.2,South Korea,Asia,35.907757,127.766922,The Petrochemicals Company is LG Chem's major business area with world-class productivity and cost competitiveness. We have established a vertically integrated ...,3252,102,2
483,Woodside Petroleum,6.4,3.0,23.9,31.9,Australia,Oceania,-25.274398,133.775136,"We have the values, experience and creativity to adapt and thrive in a changing world across our three strategic pillars – oil, gas and new energy – each with a ...",2111,109,2
484,Tatneft,13.0,2.1,19.5,14.8,Russia,Europe,61.52401,105.318756,"a Russian vertically integrated oil and gas company with headquarters in the city of Almetyevsk, Republic of Tatarstan, Russian Federation.",2111,103,2
485,ArcelorMittal,84.2,-3.7,114.6,23.1,Luxembourg,Europe,49.815273,6.129583,"Smarter steels for Paris 2024 · The Steel Works. Our Steel Thoughts and Steel Talks content provides access to the expertise, insight, and stories from the ...",3311,111,2
486,H&M,18.1,2.5,8.8,59.8,Sweden,Europe,60.128161,18.643501,"H&M is your shopping destination for fashion, home, beauty, kids' clothes and more. Browse the latest collections and find quality pieces at affordable ...",4481,105,2
487,Suzuki Motor,30.3,0.7,27.2,13.3,Japan,Asia,36.204824,138.252924,suzuki in your country. Japan. SUZUKI MOTOR CORPORATION · SUZUKI MOTOR CORPORATION · SUZUKI MOTOR CORPORATION · Change Location. close. suzuki ...,3361,118,2
488,Bank of Beijing,6.3,1.4,151.7,13.1,China,Asia,35.86166,104.195397,"Bank of Beijing Supports and Signs Principles for Responsible Banking of th… ... Companion by ""Jing"" Takes Care of Children's Healthy Growth. Bank of Beijing Re…",5221,107,2
489,Public Service Enterprise,9.8,1.3,31.7,16.8,USA,North America,37.09024,-95.712891,"Public Service Enterprise Group, Inc. (PSEG, Inc.) Corporate home page. The Public Service Corporation was formed in 1903, by amalgamating more than 400 gas ...",2211,114,2
490,Mosaic,10.1,1.9,17.3,26.7,USA,North America,37.09024,-95.712891,Mosaic helps homeowners simplify the transition to clean energy with flexible financing options offered through a nationwide network of contractor partners.,5413,96,2
491,GFNorte,7.7,0.8,70.6,18.5,Mexico,North America,23.634501,-102.552784,"Grupo Financiero Banorte (GFNorte), is a leading financial institution in Mexico, with the largest business diversification and continuously seeking ways to ...",5221,105,2
492,Kyocera,14.1,1.0,24.0,17.1,Japan,Asia,36.204824,138.252924,"Providing total document solutions, telecommunications equipment, rugged devices for work. Smart solutions for business. Renewable resources.",4234,96,2
493,Associated British Foods,19.8,0.9,16.2,22.7,UK,Europe,55.378051,-3.435973,"Associated British Foods is a diversified international food, ingredients and retail group with sales of £19.8bn, 133000 employees and operations in 55 ...",3111,108,2
494,Origin Energy,13.2,1.0,28.7,14.9,Australia,Oceania,-25.274398,133.775136,"Connect your energy with Origin Energy - an Award Winning Electricity Provider & Gas Supplier. We also offer NBN internet, LPG, and custom solar solutions.",2211,104,2
495,Otsuka Holdings,13.9,1.1,19.9,18.6,Japan,Asia,36.204824,138.252924,"Otsuka Holdings'website. Based on the corporate philosophy of 'Otsuka - people creating new products for better health worldwide', Otsuka Holdings aims to ...",3254,111,2
496,Telus,11.0,1.3,20.5,22.3,Canada,North America,56.130366,-106.346771,"By choosing TELUS you get access to amazing plans, phones and high-speed internet on Canada's most-awarded network, and help connect Canadians in need.",5173,104,2
497,Potash of Saskatchewan,7.9,2.1,18.2,35.3,Canada,North America,56.130366,-106.346771,"The legacy and evolution of safe potash mining in Saskatchewan. Read more · Events. August 8, 2024. 2024 Q2 Earnings Conference Call. Executive Leaders and ...",2124,115,2
497,Etisalat,9.0,1.8,21.8,21.8,United Arab Emirates,Asia,23.424076,53.847818,"Explore our services. Buy a device, subscribe to a plan recharge your account or switch to e& now.",5173,97,2
499,Progressive,17.1,0.9,22.7,15.2,USA,North America,37.09024,-95.712891,"We're the #1 combined personal and commercial auto insurance company ... From customized auto insurance to superior claims service, our people and technology will ...",5241,102,2
500,Sempra Energy,9.6,0.9,36.5,19.2,USA,North America,37.09024,-95.712891,Our purpose is to provide leadership to the global energy transition by helping to enable electrification and decarbonization in every market we serve. As ...,2211,107,2
501,Corning,8.0,1.7,29.4,19.0,USA,North America,37.09024,-95.712891,"Corning Incorporated is a global-leading innovator in materials science, with 170 years of life-changing inventions and category-defining products.",3274,101,2
502,Reed Elsevier,9.9,1.7,17.9,25.6,UK,Europe,55.378051,-3.435973,"Make better decisions, get better results and be more productive with RELX's analytics and decision tools.",5191,96,2
503,Dongfeng Motor Group,19.7,1.4,19.2,11.8,China,Asia,35.86166,104.195397,"Dongfeng Motor Corporation Limited is a significant backbone of China's automotive industry. Its predecessor, the Second Automobile Manufacturing Plant, was ...",3361,102,2
503,Tokio Marine Holdings,39.4,0.1,196.4,23.5,Japan,Asia,36.204824,138.252924,"As a global insurance group, we strive to solve the evolving social issues of each era, to build a better tomorrow, supporting our customers and society during ...",5241,108,2
505,Sandvik,15.2,1.2,16.0,20.5,Sweden,Europe,60.128161,18.643501,"Part of global industrial engineering group Sandvik, Sandvik Coromant is at the forefront of manufacturing tools, machining solutions and metal cutting ...",3325,103,2
506,Sony,78.5,-5.5,160.3,17.6,Japan,Asia,36.204824,138.252924,"Learn about Sony Group Corporation's Businesses and Products; our initiatives in Technology, Sustainability, and Design; and recent Press Releases, ...",3342,100,2
507,Poly Real Estate,9.6,1.3,40.3,12.2,China,Asia,35.86166,104.195397,Polley Associates School of Real Estate is proud to be one of the most respected Real Estate schools in Pennsylvania! Over 90% of our business is driven by word ...,5313,110,2
508,New China Life Insurance,18.0,0.5,79.2,11.8,China,Asia,35.86166,104.195397,"New China Life Insurance Co., Ltd. All rights reserved. Beijing ICP Filing NO.05003120-1 Jinggong Network Anbei No. 11022902000320. This website already ...",5241,117,2
509,Agrium,16.7,1.5,16.0,15.3,Canada,North America,56.130366,-106.346771,Nutrien is a leading crop inputs and services provider that is helping to safely and sustainably feed a growing world.,3253,96,2
510,Cummins,17.3,1.5,12.5,22.3,USA,North America,37.09024,-95.712891,"Cummins specializes in diesel and alternative fuel engines and generators, and related components and technology. Learn more at cummins.com.",3331,99,2
511,EOG Resources,11.7,0.6,27.3,35.4,USA,North America,37.09024,-95.712891,"... Sustainability Investors · Interest Owners · Contacts · Terms of Use · Ethics & Compliance Hotline. © 2018-2024 EOG Resources, Inc. All rights reserved.",2111,110,2
512,Omnicom Group,14.2,1.0,22.2,15.7,USA,North America,37.09024,-95.712891,"A global leader in marketing communications, Omnicom provides brand and advertising services to over 5000 clients in over 100 countries.",5418,103,2
